Nr|Naam|Gem/Bijz.|Sign|Bezoekadres|Huisnummer|NA|PC|Plaats|Gemeente|Provincie|Status|Verbijzondering status|MIP|Rijksmonument|Gemeentelijk monument|Rmonr.|Link|Beschermd deel|Eigenaar|Postadres|PC Eig.|Plaats|Jaartal|Circa|Periode|Ontwerp van|Grondvorm|wc|lijk|aula|KASKI|Bijzonderheden|Grootte|Isl.|Kadaster
4048|Nieuw Eykenduynen|Bijzonder|Part|Kamperfoeliestraat|2a||2563 KJ|'s-Gravenhage|Den Haag|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Yarden Uitvaartcentrum Crematorium en Begraafplaats|Kamperfoeliestraat 2a|2563 KJ|Den Haag|1891||||Combinatie|nee|nee|nee||Geen aula meer, maar afscheidshuis|91.000|ja|Ja
4123|NH Kerkhof Loosduinen|Bijzonder|NH|Willem III straat|40||2552 BS|'s-Gravenhage|Den Haag|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||Postbus  53123|2505AC|Den Haag|||Middeleeuwen||Recht|nee|nee|nee|||2.260|nee|Ja
1692|Sint Jozefbegraafplaats|Bijzonder|RK|Burgemeester Hovylaan|70||2552 AZ|'s-Gravenhage (Loosduinen)|Den Haag|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Parochie van Maria van Eik en Duinen|Loosduinse Hoofdstraat 6|2552 AJ|Den Haag|1835||||Recht|nee|nee|ja||administratie door St. R.K. Begraafplaatsen Den Haag|3.520|nee|Ja
125|Ter Navolging|Bijzonder|Part|Prins Willemstraat|43||2584 HT|'s-Gravenhage (Scheveningen)|Den Haag|Zuid-Holland|In gebruik||Nee|Ja|Nee|17960|https://monumentenregister.cultureelerfgoed.nl/monumenten/17960|Begraafplaats||p/a Piet Heinstr.115/117|2518CG|Den Haag|1780||||Recht|nee|ja|nee|||500|nee|Nee
1911|RK Begraafplaats Dordrecht|Bijzonder|RK|Reeweg Oost|118||3312 CT|Dordrecht|Dordrecht|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Rooms-kath Begraafplaats   |Reeweg Oost 118|3312 CT|Dordrecht|1880||||Combinatie|nee|ja|ja|336||6.200|nee|Ja
63|Kerkhof Onze Lieve Vrouw Hemelvaart|Bijzonder|RK|Kerkstraat|3|bij|3256 AE|Achthuizen|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||RK Parochie O.L.V. Hemelvaart|||Achthuizen|1849||||Recht|nee|nee|nee|||2.410|nee|Ja
2155|NH Kerkhof|Bijzonder|NH|Voorstraat|23||3258 BA|Den Bommel|Goeree-Overflakkee|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||1646||||Kerkoriëntatie|nee|nee|nee||graftrommel|1.060|nee|Ja
1914|NH Kerkhof|Bijzonder|NH|Kerkstraat|9|bij|3252 AX|Goedereede|Goeree-Overflakkee|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Recht|nee|nee|nee|||460|nee|Ja
2156|Begraafplaats Onze Lieve Vrouw Hemelvaart|Bijzonder|RK|Langeweg|50||3241 KA|Middelharnis|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1863||||Recht|nee|nee|nee|||1.235|nee|Ja
74|RK Begraafplaats|Bijzonder|RK|Langeweg|4|bij|3255 LJ|Oude-Tonge|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Ja|Nee|521892|https://monumentenregister.cultureelerfgoed.nl/monumenten/521892|Kapel op NW-deel, 1867-1868|Parochie O.L.V. Hemelvaart|Postbus 14|3255 ZG|Oude-Tonge|1867||||Recht|nee|ja|nee|||3.540|nee|Ja
1937|NH Kerkhof|Bijzonder|NH|Marktveld/Kerkstraat|13||3245 AM|Sommelsdijk|Goeree-Overflakkee|Zuid-Holland|Gesloten||Nee|Ja|Nee|29842|https://monumentenregister.cultureelerfgoed.nl/monumenten/29842|Grafkelder in ruïne koor, hekwerk|||||||Middeleeuwen||Recht|nee|nee|nee|||1.020|nee|Ja
2251|NH kerkhof Dalem|Bijzonder|NH|Merwededijk|6||4207 AJ|Dalem|Gorinchem|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||Gemeente Gorinchem||||1801||||Recht|nee|nee|nee|||210|nee|Nee
1812|RK Begraafplaats|Bijzonder|RK|Arkelse Onderweg|43||4206 AE|Gorinchem|Gorinchem|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Nee|Geen|||||||1876||||Recht|nee|nee|nee||onderh door gemeente|2.850|nee|Ja
1704|RK Begraafplaats Gouda|Bijzonder|RK|Graaf Florisweg|126||2805 AP|Gouda|Gouda|Zuid-Holland|In gebruik||Nee|Ja|Nee|517619|https://monumentenregister.cultureelerfgoed.nl/monumenten/517619|Grafkapel||Ericalaan 15|2803 BN|Gouda|1890||||Recht|nee|nee|nee|336|Kapel|5.300|nee|Ja
1471|RK Begraafplaats St. Martinus|Bijzonder|RK|Mariastraat|30|bij|2181 CT|Hillegom|Hillegom|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Hek begraafplaats|||||1900||||Recht|nee|ja|nee|||5.360|nee|Ja
1470|H. Jozefbegraafplaats|Bijzonder|RK|Mgr. Van Leeuwenlaan|13|bij|2182 EM|Hillegom|Hillegom|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1925|Ja|||Recht|nee|nee|nee|||2.890|nee|Ja
