Nr|Naam|Gem/Bijz.|Sign|Bezoekadres|Huisnummer|NA|PC|Plaats|Gemeente|Provincie|Status|Verbijzondering status|MIP|Rijksmonument|Gemeentelijk monument|Rmonr.|Link|Beschermd deel|Eigenaar|Postadres|PC Eig.|Plaats|Jaartal|Circa|Periode|Ontwerp van|Grondvorm|wc|lijk|aula|KASKI|Bijzonderheden|Grootte|Isl.|Kadaster
4321|NH kerkhof|Bijzonder|NH|Kerkweg|1||3218 AH|Heenvliet|Nissewaard|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|nee|nee||Resteren nog enkele grafmonumenten|2.600|nee|Nee
1729|NH Kerkhof|Bijzonder|NH|Lageweg|1||3212 LZ|Simonshaven|Nissewaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|ja|nee|||1.350|nee|Ja
1594|H Hart van Jezusbegraafplaats|Bijzonder|RK|Beeklaan|13||2191 AB|De Zilk|Noordwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Parochie Heilige Willibrordus|Heereweg 277|2161 BH|Lisse|1920||||Recht|nee|nee|nee|||2.020|nee|Ja
3386|RK Begraafplaats a/d Gooweg|Bijzonder|RK|Gooweg|35||2201 AX|Noordwijk|Noordwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1884||||Recht|ja|ja|nee|||9.665|nee|Ja
4193|Begraafplaats Sancta Maria centrum voor Psychiatrie|Bijzonder|Part|Langevelderlaan|1|bij|2204 BA|Noordwijk|Noordwijk|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||1928||||Recht|nee|nee|nee|||3.650|nee|Ja
4192|H Jozefkerkhof|Bijzonder|RK|Herenweg|13||2211 CA|Noordwijkerhout|Noordwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1916||||Recht|nee|nee|nee|||4.630|nee|Ja
1373|St Victorbegraafplaats|Bijzonder|RK|Sint Victorlaan|13|bij|2211 RN|Noordwijkerhout|Noordwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1852||||Recht|nee|nee|nee|||2.670|nee|Ja
330|St. Bavobegraafplaats (Psychiatrische inrichting)|Bijzonder|RK|t Hoogtlaan|14d|bij|2211 AN|Noordwijkerhout|Noordwijk|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||1914||||Recht|nee|nee|nee|||1.985|nee|Nee
4195|NH Begraafplaats|Bijzonder|NH|Herenweg|78|bij|2211 CD|Noordwijkerhout|Noordwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||Van 't Haaffstraat 27|2211 HA|Noordwijkerhout|1923||||Recht|nee|ja|nee|||3.770|nee|Ja
1355|H Willibrordbegraafplaats|Bijzonder|RK|Rhijngeesterstraatweg|35||2341 BR|Oegstgeest|Oegstgeest|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1821||||Recht|nee|nee|nee||met uitbreiding|6.350|nee|Ja
861|Grafmonument Wyttenbach|Bijzonder|Part|Wyttenbachweg|1|bij|2341 VX|Oegstgeest|Oegstgeest|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||1820||||Geen|nee|nee|nee|||500|nee|Nee
1332|Kerkhof bij het Groene Kerkje|Bijzonder|NH|Haarlemmerstraatweg|6||2343 LB|Oegstgeest|Oegstgeest|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Lijkenhuisje, grafmonument Gevers (van Endegeest)|Stichting begraafplaats Groene kerkje |Haarlemmerstraatweg 3|2343 LA|Oegstgeest|||Middeleeuwen||Kerkoriëntatie|nee|ja|nee|||9.525|nee|Ja
525|Nieuwe Begraafplaats|Bijzonder|NH|Haarlemmerstraatweg|3a||2343 LA|Oegstgeest|Oegstgeest|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Stichting begraafplaats Groene kerkje |Haarlemmerstraatweg 3|2343 LA|Oegstgeest|2011|||Firma Copijn|Recht|nee|nee|nee||600 graven|5.670|nee|Nee
1693|St Bartholomeusbegraafplaats|Bijzonder|RK|Veenweg|36|bij|2631 CL|Nootdorp|Pijnacker-Nootdorp|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Stichting RK begraafplaatsen Den Haag|Veenweg 36|2631 CL|Nootdorp|||||Recht|nee|nee|nee|||1.170|nee|Ja
2456|Algemene Begraafplaats Sint Janshof|Bijzonder|Part|Oudeweg|61||2631 PA|Nootdorp|Pijnacker-Nootdorp|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Stichting Algemene begraafplaats Sint Jan||||2004|||Rotstein, Jentina|Gebogen|nee|nee|ja|||27.480|ja|Ja
3553|NH Kerkhof|Bijzonder|NH|Dorpsstraat|36||2631 CT|Nootdorp|Pijnacker-Nootdorp|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|nee|nee|||705|nee|Ja
1540|H Johannes de Doperbegraafplaats|Bijzonder|RK|Meidoornlaan|3|bij|2641 CB|Pijnacker|Pijnacker-Nootdorp|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1826||||Recht|nee|nee|nee|||1.900|nee|Ja
1335|NH Kerkhof Koningshof|Bijzonder|NH|Koningshof|1||2641 GT|Pijnacker|Pijnacker-Nootdorp|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||Westlaan 78|2641DN|Pijnacker|||Middeleeuwen||Combinatie|nee|nee|nee||met uitbreiding|4.630|nee|Ja
2237|Grafkelder Groeninx van Zoelen|Bijzonder|Part|Kievitsweg|114|bij|2983 AE|Ridderkerk|Ridderkerk|Zuid-Holland|Gesloten||Nee|Ja|Nee|32507|https://monumentenregister.cultureelerfgoed.nl/monumenten/32507|Begraafplaats bij Huis ten Donck|||||1828||||Recht|nee|nee|nee|||3.400|nee|Ja
4160|St Bonifatiusbegraafplaats|Bijzonder|RK|Van Vredenburchweg|67||2282 VC|Rijswijk|Rijswijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||Hoornbruglaan 36|2281 AW|Rijswijk ZH|1828||||Recht|nee|nee|nee||uitgebreid in 1930|6.720|nee|Ja
3023|Begraafplaats Oud-Rijswijk (oude gemeentelijke)|Bijzonder|Part|Sir W. Churchilllaan|233||2282 JS|Rijswijk|Rijswijk|Zuid-Holland|In gebruik||Nee|Ja|Nee|518123|https://monumentenregister.cultureelerfgoed.nl/complexen/518123|Aanleg, aula en toegangshek|Yarden||||1916|||L.A. Springer|Combinatie|ja|ja|ja||Ned oorlogsgraven. In 1998 overgenomen door voorganger van Yarden.|29.400|ja|Ja
3245|Yardenhuis van Rijswijk|Bijzonder|Part|Eikelenburglaan|7||2286 KA|Rijswijk|Rijswijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Yarden||||1972||||Recht|ja|nee|ja|||45.170|nee|Ja
1325|RK Begraafplaats St. Laurentius|Bijzonder|RK|Nieuwe Crooswijkseweg|123||3034 PN|Rotterdam|Rotterdam|Zuid-Holland|In gebruik||Ja|Nee|Ja|Geen||Begraafplaats, arcade en grafkapel Jamin|||||1864||||Combinatie|ja|nee|ja||1864/1869|26.750|nee|Ja
1526|RK Begraafplaats Oud Overschie|Bijzonder|RK|Delftweg|8||3043 CG|Rotterdam|Rotterdam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Rotterdam||||1834||||Recht|nee|nee|nee|||630|nee|Nee
4196|RK Begraafplaats Kralingen|Bijzonder|RK|Oostzeedijk Beneden|3||3062 VJ|Rotterdam|Rotterdam|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||Lambertusparochie||||1837||||Recht|nee|nee|nee||Laatste begrafenis in de jaren vijftig!|400|nee|Nee
1326|NH Kerkhof Hillegersberg|Bijzonder|NH|Kerkstraat|43|bij|3054 NB|Rotterdam|Rotterdam|Zuid-Holland|In gebruik||Nee|Ja|Nee|32898|https://monumentenregister.cultureelerfgoed.nl/monumenten/32898|Hek en muur van het kerkhof|Protestantse Gemeente Rotterdam Noordrand|Kerkdreef 4|3054 GS|Rotterdam|||Middeleeuwen||Kerkoriëntatie|nee|nee|nee||Reorganisatie door L.A. Springer|7.425|nee|Ja
1329|Begraafplaats Oud Kralingen|Bijzonder|NH|Laan v. Oud Kralingen|1||3066 HA|Rotterdam|Rotterdam|Zuid-Holland|In gebruik||Nee|Ja|Nee|527205|https://monumentenregister.cultureelerfgoed.nl/monumenten/527205|Grafkapel Kruyff Bartholomeus ||Oude Dijk 2|3062AE|Rotterdam|||Middeleeuwen||Recht|nee|nee|ja||NH Kerkvoogdij Kralingen|61.600|nee|Ja
3454|NH Begraafplaats Ijsselmonde|Bijzonder|NH|Benedenrijweg|489||3077 CJ|Rotterdam|Rotterdam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||Ravelstraat 24|2983BM|Ridderkerk|1872||||Recht|ja|ja|ja|||16.100|nee|Ja
1475|Protestantse Begraafplaats Charlois|Bijzonder|NH|Charloisse Lagedijk|680||3084 LJ|Rotterdam|Rotterdam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Stichting Protestantse begraafplaats Charlois||||1924||||Recht|ja|nee|ja|||54.240|nee|Ja
1341|NH Begraafplaats Overschie|Bijzonder|NH|Overschiese dorpstraat|90||3043 CT|Rotterdam|Rotterdam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1829||||Recht|nee|ja|nee||Sleutel op Hofwijck|2.445|nee|Ja
1547|HH Jacobus en Martinusbegraafplaats|Bijzonder|RK|Kerkweg|46|bij|3124 KE|Kerkbuurt (Schiedam)|Schiedam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||||Recht|nee|nee|nee|||590|nee|Ja
3385|NH kerkhof|Bijzonder|NH|Noordeinde|10||3121 KG|Kethel (Schiedam)|Schiedam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Recht|nee|nee|nee|||290|nee|Nee
4232|RK Begraafplaats|Bijzonder|RK|Vlaardingerdijk|50||3117 EW|Schiedam|Schiedam|Zuid-Holland|Gesloten||Nee|Ja|Nee|33288|https://monumentenregister.cultureelerfgoed.nl/monumenten/33288|Begraafplaats en kapel|gemeente Schiedam||||1851||||Recht|nee|ja|nee||1851-1972|6.900|nee|Ja
1399|Begraafplaats De Beukenhof|Bijzonder|Part|Burgemeester van Haarenlaan|1450||3118 GR|Schiedam|Schiedam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Yarden||||1930|||J.K. Dominicus|Combinatie|ja|nee|ja||ned oorlogsgraven|96.000|ja|Ja
1337|St Pancratiuskerkhof|Bijzonder|RK|Hoofdstraat|188|bij|2171 BM|Sassenheim|Teylingen|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1870||||Recht|nee|nee|nee|||3.110|nee|Ja
1340|Hervormd kerkhof|Bijzonder|NH|Hoofdstraat|217||2171 GK|Sassenheim|Teylingen|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Combinatie|nee|nee|nee|||5.960|nee|Ja
1349|Kerkhof St Bartholomeus|Bijzonder|RK|Herenstraat|49|bij|2215 KE|Voorhout|Teylingen|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Stichting Begraafplaats Voorhout||||1882||||Recht|nee|nee|nee|||1.030|nee|Ja
1342|Kloosterbegraafplaats Broederhuis Nieuw Schoonoord|Bijzonder|RK|Rijnsburgerweg|4|bij|2215 RA|Voorhout|Teylingen|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1924||||Recht|nee|ja|nee|201||430|nee|Ja
250|Hervormd kerkhof|Bijzonder|NH|Herenstraat|51|bij|2215 KE|Voorhout|Teylingen|Zuid-Holland|In gebruik||Nee|Ja|Nee|523429|https://monumentenregister.cultureelerfgoed.nl/monumenten/523429|Baarhuisje en verbindingsmuur|Stichting Begraafplaats Voorhout||||||Middeleeuwen||Gebogen|nee|ja|nee|||1.000|nee|Nee
1483|Algemene particuliere Begraafplaats|Bijzonder|Part|Herenstraat|49|bij|2215 KE|Voorhout|Teylingen|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Stichting Begraafplaats Voorhout||||1976||||Recht|nee|nee|nee|||3.290|nee|Nee
1339|H. Matthiasbegraafplaats|Bijzonder|RK|Mgr Aengenentlaan|3|bij|2361 GB|Warmond|Teylingen|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats|||||1858||||Recht|nee|nee|nee|||2.020|nee|Ja
1344|Ned Herv kerkhof Oude Toren|Bijzonder|NH|Mgr Aengenentlaan|2|tegenover|2361 GB|Warmond|Teylingen|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats||Str ter Leede 22|2361CG|Warmond|||Middeleeuwen||Kerkoriëntatie|nee|nee|nee|||3.520|nee|Ja
1402|St. Barbarabegraafplaats|Bijzonder|RK|Emaus|44b||3135 JC|Vlaardingen|Vlaardingen|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats, R.K. toegangspoort, kapel|||||1820||||Recht|nee|ja|nee||bij algemene gevoegd in 1967!|2.275|nee|Nee
1726|RK Begraafplaats|Bijzonder|RK|Kloosterweg|33||3232 LB|Brielle|Voorne aan Zee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1900||||Recht|nee|nee|nee|||2.225|nee|Ja
3393|St Laurentiuskerkhof|Bijzonder|RK|Leidseweg|102||2251 LG|Voorschoten|Voorschoten|Zuid-Holland|In gebruik||Nee|Ja|Nee|515012|https://monumentenregister.cultureelerfgoed.nl/monumenten/515012|Toegangshek|RK Pastorie H. Laurentius|Leidseweg 102|2251 LG |Voorschoten|1820||||Recht|nee|ja|nee|||1.900|nee|Ja
1378|Kloosterbegraafplaats Dominicanessen Huize Bijdorp|Bijzonder|RK|Veurseweg|3||2251 AA|Voorschoten|Voorschoten|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1875||||Recht|nee|nee|nee|387||725|nee|Ja
3406|NH Kerkhof|Bijzonder|NH|Kerkplein|2||2251 BS|Voorschoten|Voorschoten|Zuid-Holland|Gesloten||Nee|Nee|Ja|Geen||Kerkhof|||||||Middeleeuwen||Recht|nee|ja|nee||tot 1963 gebruikt|1.435|nee|Ja
4353|Graf juffrouw Begeer op landgoed Berbice|Bijzonder|Part|Leidseweg|225|bij|2253 JA|Voorschoten|Voorschoten|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||2009||||Recht|nee|nee|nee|||6|nee|Nee
1695|RK Begraafplaats St. Victor|Bijzonder|RK|Zuidkade|176||2741 JJ|Waddinxveen|Waddinxveen|Zuid-Holland|Gesloten||Nee|Nee|Ja|Geen||Knielkapel en baarhuisje|RK Parochie St. Victorkerk|Zuidkade 176|2741 JJ|Waddinxveen|||||Recht|nee|ja|nee|||735|nee|Ja
1407|RK kerkhof De Goede Herder|Bijzonder|RK|Stoeplaan|4||2243 CZ|Wassenaar|Wassenaar|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||Park Oud Wassenaar 12|2243BX|Wassenaar|1942||||Kerkoriëntatie|nee|nee|nee|||2.635|nee|Ja
1401|RK Kerkhof St. Willibrordus|Bijzonder|RK|Kerkstraat|77||2242 HE|Wassenaar|Wassenaar|Zuid-Holland|In gebruik||Nee|Ja|Nee|524513|https://monumentenregister.cultureelerfgoed.nl/monumenten/524513|Begraafplaats|||||1827||||Recht|nee|nee|nee|||2.050|nee|Ja
3466|Familiebegraafplaats Van Ommeren|Bijzonder|Part|Van Ommerenlaan|||2243 CD|Wassenaar|Wassenaar|Zuid-Holland|In gebruik||Nee|Ja|Nee|530407|https://monumentenregister.cultureelerfgoed.nl/monumenten/530407|Familiebegraafplaats|||||1935||||Geen|nee|nee|nee||In 2022 niet meer toegankelijk|800|nee|Ja
4013|NH Kerkhof Wassenaar|Bijzonder|NH|Plein|3||2242 KB|Wassenaar|Wassenaar|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||Schoolstraat 4|2242KH|Wassenaar|||Middeleeuwen||Kerkoriëntatie|nee|ja|nee|||8.560|nee|Ja
1662|H Andreaskerkhof|Bijzonder|RK|Kwintrum|24|bij|2295 HZ|Kwintsheul|Westland|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1874||||Recht|nee|nee|nee|||1.630|nee|Ja
1654|Kerkhof H. Machutus|Bijzonder|RK|Choorstraat|105||2681 AR|Monster|Westland|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen|||||||1856||||Combinatie|nee|nee|nee|||1.730|nee|Ja
733|Grafkelder familie Herckenrath|Bijzonder|Part|Westerduinlaan|1|tegenover|2681 RK|Monster|Westland|Zuid-Holland|Gesloten||Nee|Ja|Nee|525142|https://monumentenregister.cultureelerfgoed.nl/monumenten/525142|Grafkelder|||||1844||||Geen|nee|nee|nee||Gerestaureerd 2006|415|nee|Nee
1655|St Adrianusbegraafplaats|Bijzonder|RK|Dijkweg|8|bij|2671 GB|Naaldwijk|Westland|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||1828||||Recht|nee|nee|nee||-1982|1.385|nee|Ja
1664|St Bartholomeusbegraafplaats|Bijzonder|RK|Voorstraat|111|bij|2685 EK|Poeldijk|Westland|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen|||||||1827||||Recht|nee|nee|nee|||3.260|nee|Ja
1918|Grafkelder Van Vredenburch op oude Begraafplaats|Bijzonder|Part|Langestraat|34||2691 BH|'s-Gravenzande|Westland|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Geen|nee|nee|nee||Gerestaureerd in 2003|65|nee|Nee
1659|NH Kerkhof|Bijzonder|NH|Prins Willem III plein|1||2684 VP|Ter Heijde|Westland|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1720||||Recht|nee|nee|nee|||1.600|nee|Ja
1661|St Jan de Doperbegraafplaats|Bijzonder|RK|Julialaan|6|bij|2291 BM|Wateringen|Westland|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||Julianalaan 6|2291BM|Wateringen|1819||||Recht|nee|ja|nee||25 p jr|3.900|nee|Ja
3394|H Nicolaaskerkhof|Bijzonder|RK|Dorpsstraat|26||2712 AL|Zoetermeer|Zoetermeer|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1827||||Recht|nee|nee|nee||waarschijnlijk ouder, maar geheel vernieuwd|1.395|nee|Ja
1375|NH Kerkhof|Bijzonder|NH|Dorpsstraat|17||2381 EK|Zoeterwoude-Dorp|Zoeterwoude|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|ja|nee|||940|nee|Ja
1393|Begraafplaats Meerburg|Bijzonder|Part|Hoge Rijndijk|18||2382 AS|Zoeterwoude-Rijndijk|Zoeterwoude|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Stichting Algemene begraafplaats Hoge Rijndijk|Nassaulaan 124|2382 GR|Zoeterwoude|1863||||Recht|nee|nee|nee|||1.585|nee|Ja
3392|Begraafplaats St. Jans Onthoofding|Bijzonder|RK|Zuidbuurtseweg|20||2381 LC|Zuidbuurt|Zoeterwoude|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1817||||Combinatie|nee|nee|nee|||3.700|nee|Ja
1687|Kerkhof H. Johannes' Onthoofding|Bijzonder|RK|Oosteinde|25|bij|2841 BP|Moordrecht|Zuidplas|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1852||||Recht|nee|nee|nee|||300|nee|Ja
2642|Grafkelder Drost-IJserman|Bijzonder|Part|Westeinde|28|bij|2841 BW|Moordrecht|Zuidplas|Zuid-Holland|Gesloten||Nee|Nee|Ja|Geen||Grafkelder|||||1853||||Geen|nee|nee|nee|||115|nee|Nee
814|RK Begraafplaats|Bijzonder|RK|s-Gravenweg|89||2911 CE|Nieuwerkerk aan den IJssel|Zuidplas|Zuid-Holland|In gebruik|Geen uitgifte meer|Nee|Nee|Nee|Geen|||||||1912||||Recht|nee|nee|nee|||390|nee|Ja
2233|Kerkhof Kijfhoek|Bijzonder|NH|Kijfhoek|30||3335 LE|Kijfhoek (Zwijndrecht)|Zwijndrecht|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|nee|nee|||685|nee|Ja
2232|Kerkhof Pietermankerk|Bijzonder|NH|Burg. Pijl Hogeweglaan|1||3335 LA|Zwijndrecht|Zwijndrecht|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|nee|nee|||1.510|nee|Ja
2243|"Kerkhof Alblasserdam ""de Oude Torenhof"""|Gemeentelijk|Gem|Kerkstraat|187|bij|2951 GJ|Alblasserdam|Alblasserdam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Alblasserdam|Postbus 2|2950 AA|Alblasserdam|||Middeleeuwen||Recht|nee|nee|ja||Restant kerktoren|18.395|nee|Ja
4155|Gemeentelijk kerkhof Groene Kruisweg|Gemeentelijk|Gem|Kerkstraat|90||3176 PS|Poortugaal|Albrandswaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Gemeente Albrandswaard||||||Middeleeuwen||Recht|nee|ja|nee|||22.500|nee|Ja
4187|Algemene Begraafplaats achter NH kerk|Gemeentelijk|Gem|Dorpsdijk|65||3161 KD|Rhoon|Albrandswaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Gemeente Albrandswaard||||1840|Ja|||Recht|nee|nee|nee||Uitbreiding door Ada Wille?|13.200|nee|Ja
1588|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Zuideinde|37||2445 AS|Aarlanderveen|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Ja|Nee|516118|https://monumentenregister.cultureelerfgoed.nl/complexen/516118|Toegangshek, Baarhuisje, lijkenhuisje en aanleg en beplanting|gemeente Alphen aan de Rijn|Postbus 13|2400AA|Alphen aan den Rijn|1873||||Recht|nee|ja|nee|||1.215|nee|Ja
1622|Oude algemene Begraafplaats (van Oudshoorn)|Gemeentelijk|Gem|Oudshoornseweg|96||2401 LC|Alphen aan den Rijn|Alphen aan den Rijn|Zuid-Holland|Gesloten||Nee|Nee|Ja|Geen||Begraafplaats|gemeente Alphen aan den Rijn|Postbus 13|2400 AA|Alphen aan den Rijn|1829||||Recht|nee|nee|nee||gesloten rond 1950|1.400|nee|Ja
1613|Gemeentelijke Oosterbegraafplaats|Gemeentelijk|Gem|Verlengde Aarkade|22||2406 LB|Alphen aan den Rijn|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Alphen aan den Rijn|Postbus 13|2400AA|Alphen aan den Rijn|1938||||Combinatie|ja|nee|ja|||69.100|ja|Ja
3387|Gemeentelijke Begraafplaats Vrederust|Gemeentelijk|Gem|Dr A.B. Schweitzerlaan|43|bij|2731 EA|Benthuizen|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Alphen aan den Rijn|Postbus  115|2394ZG|Alphen aan den Rijn|||||Recht|nee|nee|ja|||6.000|nee|Ja
1629|Gemeentelijke Begraafplaats De Loete|Gemeentelijk|Gem|Reijerskoop|83|bij|2771 BE|Boskoop|Alphen aan den Rijn|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Ja|Geen||Begraafplaats|gemeente Alphen aan den Rijn||||1875||||Recht|nee|ja|nee|||3.550|nee|Ja
1624|Gemeentelijke Begraafplaats Aan de Roemer|Gemeentelijk|Gem|Roemer|23||2771 WS|Boskoop|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Alphen aan den Rijn||||1965||||Recht|ja|nee|ja||Gem+RK|26.540|nee|Ja
1627|Gemeentelijke begraafplaats|Gemeentelijk|Gem|Provincialeweg|2||2391 EZ|Hazerswoude Dorp|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Ja|Nee|517876|https://monumentenregister.cultureelerfgoed.nl/complexen/517876|Aanleg, aula, 2 vaste bruggen|gemeente Alphen aan den Rijn|Postbus  115|2394ZG|Hazerswoude|1935||||Recht|nee|ja|ja|||29.160|nee|Ja
1626|Begraafplaats|Gemeentelijk|Gem|Hoogewaard|9||2396 AB|Koudekerk aan den Rijn|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Alphen aan den Rijn||||||||Recht|nee|nee|ja||Uitbreiding door Ada Wille|5.725|nee|Ja
704|Begraafplaats Buitendorp|Gemeentelijk|Gem|Spoorlaan|14||2471 PA|Zwammerdam|Alphen aan den Rijn|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats|gemeente Alphen aan den Rijn, t.a.v. Gravenadministratie|Postbus 13|2400 AA|Alphen aan den Rijn|1938||||Recht|ja|ja|ja|||4.510|nee|Ja
1455|Oude Begraafplaats|Gemeentelijk|Gem|Scheldestraat|3||2991 AJ|Barendrecht|Barendrecht|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats|gemeente Barendrecht||||1871||||Recht|nee|ja|ja||Was tot 2017 gesloten!|25.645|nee|Ja
1481|Begraafplaats Den Ouden Dijck|Gemeentelijk|Gem|Derde Barendrechtseweg|460||2992 SN|Barendrecht|Barendrecht|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Barendrecht||||2003||||Combinatie|nee|nee|ja|||46.500|nee|Ja
1603|Begraafplaats Vredehof|Gemeentelijk|Gem|Noordzijde|61||2411 RC|Bodegraven|Bodegraven-Reeuwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Bodegraven-Reeuwijk||||1925||||Recht|nee|ja|ja||Met uitbreiding van Ada Wille|26.500|nee|Ja
1628|Begraafplaats Tempel|Gemeentelijk|Gem|Schinkeldijk|3||2811 PA|Reeuwijk|Bodegraven-Reeuwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Bodegraven-Reeuwijk||||1945||||Recht|nee|ja|ja|||12.650|nee|Ja
1589|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Molendijk|32||3466 NB|Waarder|Bodegraven-Reeuwijk|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Aula en begraafplaats|gemeente Bodegraven-Reeuwijk||||1876||||Recht|nee|ja|ja|||3.720|nee|Ja
1717|Oude Algemene Begraafplaats|Gemeentelijk|Gem|G.J. v.d. Boogerdweg|2|bij|3232 EB|Brielle|Voorne aan Zee|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Ja|Geen||Toegangshek|gemeente Voorne aan Zee||||1842||||Recht|nee|nee|nee|||15.150|nee|Ja
1733|Nieuwe Begraafplaats|Gemeentelijk|Gem|G.J. v.d. Boogerdweg|35||3232 EB|Brielle|Voorne aan Zee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Voorne aan Zee||||||||Recht|nee|nee|ja|||14.400|nee|Ja
1734|NH Kerkhof|Gemeentelijk|Gem|Dijckpotingen|1||3237 AK|Vierpolders|Voorne aan Zee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Voorne aan Zee||||||||Recht|nee|nee|nee|||3.350|nee|Ja
